出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
公家村(昆石公路),耀兴枫丹白露公园(贵昆路),102.827192,24.983668,102.812461,24.988485
关上(彩云北路),菊花村,102.759254,25.016567,102.74053,25.028056
普吉路南口,黄土坡,102.67366,25.066893,102.670601,25.064157
百汇商场,富春街口,102.697765,25.046254,102.701706,25.043524
富春街口,胜利广场,102.701706,25.043524,102.706657,25.042833
胜利广场,象眼街,102.706657,25.042833,102.711403,25.040777
茨坝(龙泉路),白杨路口(龙泉路),102.736658,25.147036,102.735122,25.14253
白杨路口(龙泉路),茨坝新村,102.735122,25.14253,102.732933,25.136658
茨坝新村,市第二人民医院,102.732933,25.136658,102.73174,25.133398
市第二人民医院,龙泉路口(沣源路),102.73174,25.133398,102.732504,25.131241
青松路口(沣源路),实力郡城(小康大道),102.741776,25.125065,102.742477,25.120693
红园路口(小康大道),耀龙康城,102.73333,25.102856,102.732231,25.099657
核桃箐,教兴路口(核桃箐路),102.7004,25.086178,102.705352,25.082383
教兴路口(核桃箐路),核桃箐路,102.705352,25.082383,102.707115,25.080729
核桃箐路,教兴路南段,102.707115,25.080729,102.706818,25.077257
教兴路南段,下马村(教场北路),102.706818,25.077257,102.709183,25.0718
河宏路口(前福路),海盛路口(前福路),102.696866,24.986597,102.69497,24.983824
海盛路口(前福路),广福小区,102.69497,24.983824,102.694023,24.980894
前兴路公交枢纽站,商汇路,102.704049,24.987634,102.706932,24.983215
商汇路,希望路,102.706932,24.983215,102.711517,24.982201
希望路,华都小区(华晨路),102.711517,24.982201,102.710486,24.97549
华都小区(华晨路),逸华路口(华晨路),102.710486,24.97549,102.710994,24.973299
逸华路口(华晨路),张家庙西,102.710994,24.973299,102.713694,24.972977
张家庙西,叶家村西,102.713694,24.972977,102.712669,24.970994
叶家村西,逸雅路,102.712669,24.970994,102.710638,24.97082
云秀路,云秀路口(广居路),102.773668,24.966758,102.775946,24.966927
云秀路口(广居路),广居路,102.775946,24.966927,102.777552,24.964041
广居路,子泰路口(广居路),102.777552,24.964041,102.779045,24.959818
子泰路口(广居路),子君花园小区,102.779045,24.959818,102.779913,24.956732
子君花园小区,广居路南段,102.779913,24.956732,102.780751,24.954058
广居路南段,子君村东,102.780751,24.954058,102.781797,24.950139
子君村东,广福路口(商海路),102.781797,24.950139,102.781944,24.948016
商城大道,新螺蛳湾公交枢纽站(怡安路),102.778134,24.936871,102.778234,24.930009
九夏云水小区,周家村,102.675888,24.995792,102.682259,24.997492
周家村,省高院南口,102.682259,24.997492,102.68383,24.998697
省高院南口,省高院,102.68383,24.998697,102.686134,25.000477
省高院,杨家路口(金广路),102.686134,25.000477,102.689377,25.002956
杨家路口(金广路),怡康新村,102.689377,25.002956,102.694519,25.00806
怡康新村,金兰路,102.694519,25.00806,102.697655,25.009892
金兰路,金兰路口(前卫西路),102.697655,25.009892,102.701691,25.011702
金兰路口(前卫西路),马洒营(二环南路),102.701691,25.011702,102.709541,25.013464
马洒营(二环南路),官南立交桥(二环南路),102.709541,25.013464,102.714539,25.013958
官南立交桥(二环南路),昆明站南广场,102.714539,25.013958,102.722252,25.013512
昆明站南广场,昆明站(永平路),102.722252,25.013512,102.724442,25.018747
董家湾(环城东路),大树营,102.734531,25.036411,102.739136,25.038324
大树营,昆三中(春融东路),102.739136,25.038324,102.835663,24.882904
昆三中(春融东路),市委(春融东路),102.835663,24.882904,102.836319,24.881149
市委(春融东路),政务服务中心(锦绣大街),102.836319,24.881149,102.836266,24.877327
政务服务中心(锦绣大街),二号楼(和谐路),102.836266,24.877327,102.832848,24.877018
二号楼(和谐路),市政府(和谐路),102.832848,24.877018,102.831284,24.881445
市政府(和谐路),新区会堂(春融街),102.831284,24.881445,102.831665,24.885786
新区会堂(春融街),雨花公交枢纽站,102.831665,24.885786,102.84346,24.836897
雨花公交枢纽站,昆三中(春融东路),102.843025,24.835109,102.834653,24.885725
新区会堂(春融街),湖畔之梦小区,102.831772,24.885815,102.683103,24.993307
湖畔之梦小区,滇池路口(广福路),102.683103,24.993307,102.675412,25.003073
滇池路口(广福路),广福路口(滇池路),102.675412,25.003073,102.675407,25.005049
广福路口(滇池路),金牛小区,102.675407,25.005049,102.692335,25.015603
金牛小区,西华小区(西园路),102.692335,25.015603,102.686531,25.028048
西华小区(西园路),丹霞路口(西园路),102.686531,25.028048,102.67981,25.036253
人民西路口(西园路),眠山车场,102.679176,25.043907,102.648258,25.04712
月牙塘小区,江东花城,102.729774,25.096445,102.746368,25.090425
江东花城,世博花园酒店,102.746368,25.090425,102.755039,25.076055
世博园,织布营,102.754284,25.070291,102.766523,24.976454
织布营,螺蛳湾公交枢纽站(彩云北路),102.766523,24.976454,102.774574,24.928385
螺蛳湾公交枢纽站(彩云北路),昆三中(春融东路),102.774574,24.928385,102.834648,24.885759
新区会堂(春融街),雨花公交枢纽站(大学城地铁站),102.831665,24.885782,102.84346,24.836897
雨花公交枢纽站(彩云南路),昆三中(春融东路),102.843073,24.83497,102.834674,24.885673
新区会堂(春融街),大都购物中心(彩云北路),102.831806,24.885825,102.767094,24.972997
大都购物中心(彩云北路),菊花村,102.767094,24.972997,102.74043,25.028103
菊花村,延安医院(环城东路),102.74043,25.028103,102.733346,25.04197
